arch,identifier,trial,round,iterations,best_validation_loss,best_iteration,acc_at_best_iter,loss_at_best_iter,num_weights,percent_weights
lenet,1667108043,2,3,50000,0.107501227924313,0,0.984,0.11146468438776,136511,51.3
lenet,1667108043,2,4,50000,0.107886586657875,1400,0.9845,0.105860774048453,109282,41.1
lenet,1667108043,2,5,50000,0.104654598789446,2300,0.9844,0.101813023411852,87490,32.9
lenet,1667108043,2,6,50000,0.101283920721445,500,0.9847,0.095485702080987,70051,26.3
lenet,1667108043,2,7,50000,0.105602099837715,2900,0.9841,0.090294707352954,56094,21.1
lenet,1667108043,2,8,50000,0.097833427947069,1200,0.9839,0.088498559561818,44923,16.9
lenet,1667108043,2,9,50000,0.101267857478409,1800,0.9839,0.082842259965202,35981,13.5
lenet,1667108043,2,10,50000,0.097311477761759,1000,0.9831,0.086346273836351,28823,10.8
lenet,1667108043,2,11,50000,0.100183482488979,1200,0.9836,0.088790018212193,23093,8.7
lenet,1667108043,2,12,50000,0.106776422569824,1000,0.9818,0.089259451008198,18506,7
lenet,1667108043,2,13,50000,0.106672599347795,4200,0.9827,0.091071980539938,14834,5.6
lenet,1667108043,2,14,50000,0.116928862620041,1600,0.9814,0.095585635540325,11893,4.5
lenet,1667108043,2,15,50000,0.120245256694851,1900,0.9794,0.101730508023775,9537,3.6
lenet,1667108043,2,16,50000,0.13142159434864,2700,0.9791,0.108178874296605,7650,2.9
lenet,1667108043,2,17,50000,0.143865234531144,2900,0.9797,0.102223787592075,6139,2.3
lenet,1667108043,2,18,50000,0.166769527406688,3900,0.9781,0.129225864165806,4928,1.9
lenet,1667108043,2,19,50000,0.172613484741218,8000,0.9771,0.153156762727062,3958,1.5
lenet,1667108043,2,20,50000,0.194204070778575,8800,0.9738,0.173723029437224,3179,1.2
lenet,1667108043,2,21,50000,0.2322139063884,12200,0.9707,0.209875492698928,2556,1
lenet,1667108043,2,22,50000,0.219975586503833,43800,0.9642,0.203766569383578,2056,0.8
lenet,1667108043,2,23,50000,0.177729661132963,48700,0.962,0.150779215365224,1655,0.6
lenet,1667108043,2,24,50000,0.182913010274725,45400,0.9526,0.169743808449252,1332,0.5
lenet,1667108043,2,25,50000,0.250200352454115,43800,0.9355,0.216085072785259,1074,0.4
lenet,1667108043,2,26,50000,0.328175191811862,48600,0.915,0.298463752950558,866,0.3
lenet,1667108043,2,27,50000,0.496629165574199,39600,0.8629,0.464073074702731,700,0.3
lenet,1667156427,3,0,50000,0.06940112636602,4800,0.9806,0.065841317521534,266200,100
lenet,1667156427,3,1,50000,0.109517541985966,100,0.9849,0.104248490202022,213060,80
lenet,1667156427,3,2,50000,0.117952834761525,4800,0.9857,0.11220084492274,170538,64.1
lenet,1667156427,3,3,50000,0.118279769301478,3700,0.9854,0.114228672892997,136511,51.3
lenet,1667156427,3,4,50000,0.115478893586669,200,0.9852,0.113265478055961,109282,41.1
lenet,1667156427,3,5,50000,0.107976088539238,900,0.9844,0.108801352476946,87490,32.9
lenet,1667156427,3,6,50000,0.101381991116232,900,0.9853,0.102076332599464,70051,26.3
lenet,1667156427,3,7,50000,0.105935353905412,1600,0.985,0.097426537490659,56094,21.1
lenet,1667156427,3,8,50000,0.101476336953245,900,0.9825,0.100428044027277,44923,16.9
lenet,1667156427,3,9,50000,0.099334230848902,1000,0.9834,0.100074405014817,35981,13.5
lenet,1667156427,3,10,50000,0.097801579843084,1000,0.9827,0.090752052998644,28823,10.8
lenet,1667156427,3,11,50000,0.100701940991609,1700,0.9833,0.086693381045298,23093,8.7
lenet,1667156427,3,12,50000,0.107792386814557,1400,0.9833,0.088234562957937,18506,7
lenet,1667156427,3,13,50000,0.114474142380979,1000,0.9816,0.094369883877117,14834,5.6
lenet,1667156427,3,14,50000,0.116689800758086,2300,0.9802,0.095556165383522,11893,4.5
