arch,identifier,trial,round,iterations,best_validation_loss,best_iteration,acc_at_best_iter,loss_at_best_iter,num_weights,percent_weight
conv2,1667072317,2,0,20000,0.844181756178538,4200,0.7113,0.8559311826428967,3793088,100.0
conv2,1667072317,2,1,20000,1.4326027787867046,100,0.7064,1.4350306145445315,3038586,80.1
conv2,1667072317,2,2,20000,1.545230175058047,100,0.707,1.5557155113020342,2434572,64.2
conv2,1667072317,2,3,20000,1.650825899271738,100,0.7056,1.598669171690227,1950991,51.4
conv2,1667072317,2,4,20000,1.705948415966261,500,0.7073,1.6889944383484161,1563793,41.2
conv2,1667072317,2,5,20000,1.5833307447887601,700,0.7045,1.5777506300075326,1253734,33.1
conv2,1667072317,2,6,20000,1.5665438671906788,400,0.6908,1.5521281450808406,1005417,26.5
conv2,1667072317,2,7,20000,1.5794440869774138,600,0.6846,1.5746332792464846,806520,21.3
conv2,1667072317,2,8,20000,1.5676525618348802,500,0.6851,1.5558421565387064,647184,17.1
conv2,1667072317,2,9,20000,1.4747166681502546,800,0.6875,1.482922322021987,519519,13.7
conv2,1667072317,2,10,20000,1.5551878951844715,700,0.6742,1.5644354563273355,417210,11.0
conv2,1667072317,2,11,20000,1.5190243210111345,800,0.6747,1.5372822395341839,335204,8.8
conv2,1667072317,2,12,20000,1.512797005829357,800,0.6676,1.5359049889141927,269455,7.1
conv2,1667072317,2,13,20000,1.545663065853573,1400,0.6675,1.5688597110217204,216727,5.7
conv2,1667072317,2,14,20000,1.5362985006400518,1600,0.6552,1.5405934966966777,174429,4.6
conv2,1667072317,2,15,20000,1.5625239326840354,1400,0.6341,1.5903441527646458,140485,3.7
conv2,1667072317,2,16,20000,1.6010502839372271,2100,0.636,1.5499429013914692,113235,3.0
conv2,1667072317,2,17,20000,1.5435416336570467,3500,0.6344,1.5107018944032178,91350,2.4
conv2,1667072317,2,18,20000,1.5905760001568567,3800,0.6226,1.5730840367471386,73766,1.9
conv2,1667072317,2,19,20000,1.4798312187194824,5300,0.6139,1.4541049364084255,59631,1.6
conv2,1667072317,2,20,20000,1.322618380898521,6000,0.6162,1.305216301344112,48261,1.3
conv2,1667072317,2,21,20000,1.2179451946701323,7100,0.6229,1.1970625169976743,39110,1.0
conv2,1667072317,2,22,20000,1.144357713915053,9200,0.6205,1.1431224674521805,31738,0.8
conv2,1667072317,2,23,20000,1.121094483704794,13800,0.6215,1.1282490427622538,25796,0.7
conv2,1667072317,2,24,20000,1.1119298871074403,18900,0.6238,1.1089746577297142,21002,0.6
conv2,1667072317,2,25,20000,1.1237369775772095,19600,0.6025,1.146614732499608,17130,0.5
conv2,1667072317,2,26,20000,1.1883983746880578,19900,0.5778,1.197186959360888,14000,0.4
conv2,1667072317,2,27,20000,1.256583748119218,19800,0.5583,1.251501721179414,11466,0.3
conv2,1667222446,3,0,20000,0.8315230632821718,4400,0.7164,0.8292151644915163,3793088,100.0
conv2,1667222446,3,1,20000,1.348048088096437,0,0.6303,1.333053830141079,3038586,80.1
conv2,1667222446,3,2,20000,1.5165774900288809,100,0.7007,1.5210080996244968,2434572,64.2
conv2,1667222446,3,3,20000,1.6315399713459469,100,0.7013,1.5814124542082142,1950991,51.4
conv2,1667222446,3,4,20000,1.714005681730452,100,0.7032,1.6841866809450938,1563793,41.2
conv2,1667222446,3,5,20000,1.6730220225595294,400,0.6994,1.628540866032332,1253734,33.1
conv2,1667222446,3,6,20000,1.6441100942237037,500,0.6968,1.5797693122646765,1005417,26.5
conv2,1667222446,3,7,20000,1.6906606065375465,700,0.6943,1.5936173082825666,806520,21.3
conv2,1667222446,3,8,20000,1.5122465377762204,500,0.6928,1.4961398968439616,647184,17.1
conv2,1667222446,3,9,20000,1.5460084080696106,700,0.6789,1.5586734853104918,519519,13.7
conv2,1667222446,3,10,20000,1.5376591696625663,700,0.6769,1.5257221617384584,417210,11.0
conv2,1667222446,3,11,20000,1.553633871532622,800,0.6769,1.5181840883043711,335204,8.8
conv2,1667222446,3,12,20000,1.665617516353017,700,0.6555,1.6535562623046829,269455,7.1
conv2,1667222446,3,13,20000,1.5256805973393577,800,0.6618,1.511302966557577,216727,5.7
conv2,1667222446,3,14,20000,1.578410661646298,1200,0.6553,1.5167993382065597,174429,4.6
conv2,1667222446,3,15,20000,1.5457940711861564,1700,0.6523,1.537077738853272,140485,3.7
conv2,1667222446,3,16,20000,1.5512088324342455,2300,0.6349,1.580412419256336,113235,3.0
conv2,1667222446,3,17,20000,1.6265681896890913,2400,0.6305,1.6231465710851247,91350,2.4
conv2,1667222446,3,18,20000,1.4913996152934574,4000,0.6203,1.5323250233056303,73766,1.9
conv2,1667222446,3,19,20000,1.4305930939458666,5000,0.6155,1.4207357782089782,59631,1.6
conv2,1667222446,3,20,20000,1.296189973751704,6000,0.6238,1.2884450115843447,48261,1.3
conv2,1667222446,3,21,20000,1.1979991651716686,8200,0.6248,1.2050440596963117,39110,1.0
conv2,1667222446,3,22,20000,1.1564831620170957,12000,0.619,1.1637955193748017,31738,0.8
conv2,1667222446,3,23,20000,1.118321866506622,16900,0.6173,1.1334816196007642,25796,0.7
conv2,1667222446,3,24,20000,1.1168158104022343,19800,0.6122,1.1309899495033446,21002,0.6
conv2,1667222446,3,25,20000,1.153724852771986,18300,0.5977,1.1550710283353658,17130,0.5
conv2,1667222446,3,26,20000,1.2107834156070436,19700,0.5825,1.202501284861993,14000,0.4
conv2,1667222446,3,27,20000,1.2791264532577424,19100,0.5504,1.2674171121534472,11466,0.3
conv2,1667370796,4,0,20000,0.8044469665203776,4500,0.7238,0.8251473477143727,3793088,100.0
conv2,1667370796,4,1,20000,1.4497927966571988,100,0.7078,1.4559427228516448,3038586,80.1
conv2,1667370796,4,2,20000,1.4658575764014607,100,0.7101,1.494076897284228,2434572,64.2
conv2,1667370796,4,3,20000,1.5196341063295091,100,0.7123,1.5310100948739194,1950991,51.4
